Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Date_Joined_Year,Years_to_Unicorn,Year_Founded,Company_Age_2025,Log_Valuation,Is_Tech_Hub,Is_Silicon_Valley,Country_Tier,Investor_Count,Has_Top_VC,Is_Tech_Intensive,Ind_Enterprise_Tech,Ind_Fintech,Ind_Healthcare,Ind_Other,Era_2010-2014,Era_2015-2019,Era_2020+,Era_Pre-2000,ValCat_Medium,ValCat_Mega,ValCat_Small
Xingsheng Selected,12.0,2020-07-22,China,Changsha,Consumer & Retail,"KKR, Tencent Holdings, Sequoia Capital China",2020,11,2009,16,2.4849066497880004,0,0,1,3,1,1,False,False,False,False,False,False,False,False,False,False,False
Deel,12.6,2021-04-21,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Spark Capital, Y Combinator",2021,3,2018,7,2.533696813957432,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,False
Airtable,11.7,2018-11-15,United States,San Francisco,Enterprise Tech,"Caffeinated Capital, CRV, Founder Collective",2018,5,2013,12,2.4595888418037104,1,1,1,3,0,1,True,False,False,False,True,False,False,False,False,False,False
ZongMu Technology,11.4,2021-06-03,China,Shanghai,Industrials,"LTW Capital, Legend Capital, Qualcomm Ventures",2021,8,2013,12,2.4336133554004498,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,False
Global Switch,11.1,2016-12-22,United Kingdom,London,Enterprise Tech,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016,18,1998,27,2.4069451083182885,1,0,2,3,0,1,True,False,False,False,False,False,False,True,False,False,False
Checkout.com,11.0,2019-05-02,United Kingdom,London,Financial Services,"Tiger Global Management, Insight Partners, DST Global",2019,7,2012,13,2.3978952727983707,1,0,2,3,1,1,False,True,False,False,True,False,False,False,False,False,False
Bolt,11.0,2021-10-08,United States,San Francisco,Financial Services,"Activant Capital, Tribe Capital, General Atlantic",2021,7,2014,11,2.3978952727983707,1,1,1,3,0,1,False,True,False,False,True,False,False,False,False,False,False
Sierra,10.0,2024-10-28,United States,San Francisco,Enterprise Tech,"Benchmark, Sequoia Capital, Greenoaks",2024,1,2023,2,2.302585092994046,1,1,1,3,1,1,True,False,False,False,False,False,True,False,False,False,False
Alchemy,10.2,2021-10-28,United States,San Francisco,Enterprise Tech,"DFJ Growth Fund, Coatue Management, Addition",2021,4,2017,8,2.322387720290225,1,1,1,3,0,1,True,False,False,False,False,True,False,False,False,False,False
Bilt Rewards,10.75,2022-10-25,United States,New York,Financial Services,"Camber Creek, Kairos HQ, Fifth Wall Ventures",2022,3,2019,6,2.3749057545736716,1,0,1,3,0,1,False,True,False,False,False,True,False,False,False,False,False
Colossal,10.2,2023-01-31,United States,Austin,Healthcare & Life Sciences,"Animal Capital, Breyer Capital, In-Q-Tel",2023,2,2021,4,2.322387720290225,0,0,1,3,0,0,False,False,True,False,False,False,True,False,False,False,False
Huolala,10.0,2019-02-21,China,Guangzhou,Industrials,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019,6,2013,12,2.302585092994046,0,0,1,3,0,0,False,False,False,True,True,False,False,False,False,False,False
Gusto,10.0,2015-12-18,United States,San Francisco,Financial Services,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015,4,2011,14,2.302585092994046,1,1,1,3,1,1,False,True,False,False,True,False,False,False,False,False,False
Chehaoduo,10.0,2016-03-12,China,Beijing,Consumer & Retail,"Sequoia Capital China, GX Capital",2016,1,2015,10,2.302585092994046,1,0,1,2,1,1,False,False,False,False,False,True,False,False,False,False,False
Talkdesk,10.0,2018-10-03,United States,San Francisco,Enterprise Tech,"DJF, Salesforce Ventures, Storm Ventures",2018,7,2011,14,2.302585092994046,1,1,1,3,0,1,True,False,False,False,True,False,False,False,False,False,False
Notion,10.0,2020-04-01,United States,San Francisco,Enterprise Tech,"Index Ventures, Draft Ventures, Felicis Ventures",2020,4,2016,9,2.302585092994046,1,1,1,3,0,1,True,False,False,False,False,True,False,False,False,False,False
Digital Currency Group,10.0,2021-11-01,United States,New York,Financial Services,"Ribbit Capital, capitalG, Softbank Group",2021,3,2018,7,2.302585092994046,1,0,1,3,1,1,False,True,False,False,False,True,False,False,False,False,False
KuCoin,10.0,2022-05-10,Seychelles,Victoria,Financial Services,"IDG Capital, Matrix Partners China, Jump Crypto",2022,5,2017,8,2.302585092994046,0,0,3,3,0,1,False,True,False,False,False,True,False,False,False,False,False
Cognition AI,9.8,2024-04-24,United States,San Francisco,Enterprise Tech,"Founders Fund, Khosla Ventures",2024,1,2023,2,2.2823823856765264,1,1,1,2,1,1,True,False,False,False,False,False,True,False,True,False,False
HEYTEA,9.28,2019-07-01,China,Shenzhen,Consumer & Retail,"Sequoia Capital China, Tencent Investment, BA Capital",2019,7,2012,13,2.2278615467981093,1,0,1,3,1,1,False,False,False,False,True,False,False,False,True,False,False
N26,9.23,2019-01-10,Germany,Berlin,Financial Services,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019,6,2013,12,2.222459048514761,0,0,2,3,0,1,False,True,False,False,True,False,False,False,True,False,False
Navan,9.2,2018-11-08,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018,3,2015,10,2.2192034840549946,1,1,1,3,1,1,True,False,False,False,False,True,False,False,True,False,False
VAST Data,9.1,2020-04-16,United States,New York,Enterprise Tech,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2020,4,2016,9,2.2082744135228043,1,0,1,3,0,1,True,False,False,False,False,True,False,False,True,False,False
Anysphere,9.0,2024-12-20,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Thrive Capital, OpenAI Startup Fund",2024,2,2022,3,2.1972245773362196,1,1,1,3,1,1,True,False,False,False,False,False,True,False,True,False,False
Tanium,9.0,2015-03-31,United States,Kirkland,Enterprise Tech,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015,8,2007,18,2.1972245773362196,0,0,1,3,1,1,True,False,False,False,False,False,False,False,True,False,False
Niantic,9.0,2017-11-24,United States,San Francisco,Media & Entertainment,"Nintendo, Google, Pokemon Company International, Spark Capital",2017,2,2015,10,2.1972245773362196,1,1,1,4,0,1,False,False,False,False,False,True,False,False,True,False,False
OYO Rooms,9.0,2018-09-25,India,Gurugram,Consumer & Retail,"SoftBank Group, Sequoia Capital India, Lightspeed India Partners",2018,6,2012,13,2.1972245773362196,0,0,2,3,1,1,False,False,False,False,True,False,False,False,True,False,False
Rapyd,8.75,2019-12-03,United Kingdom,London,Financial Services,"Target Global, General Catalyst, Durable Capital Partners",2019,3,2016,9,2.169053700369523,1,0,2,3,1,1,False,True,False,False,False,True,False,False,True,False,False
Chainalysis,8.6,2020-11-23,United States,New York,Financial Services,"Addition, Benhcmark, Accel",2020,6,2014,11,2.151762203259462,1,0,1,3,1,1,False,True,False,False,True,False,False,False,True,False,False
Personio,8.5,2021-01-19,Germany,Munich,Enterprise Tech,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021,6,2015,10,2.1400661634962708,0,0,2,3,0,1,True,False,False,False,False,True,False,False,True,False,False
SumUp,8.5,2019-07-16,United Kingdom,London,Financial Services,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2019,8,2011,14,2.1400661634962708,1,0,2,3,0,1,False,True,False,False,True,False,False,False,True,False,False
Bolt,8.4,2018-05-29,Estonia,Tallinn,Industrials,"Didi Chuxing, Diamler, TMT Investments",2018,5,2013,12,2.128231705849268,0,0,3,3,0,0,False,False,False,True,True,False,False,False,True,False,False
Tipalti,8.3,2020-10-06,United States,San Mateo,Enterprise Tech,"01 Advisors, Zeev Ventures, Group 11",2020,10,2010,15,2.1162555148025524,0,0,1,3,0,1,True,False,False,False,True,False,False,False,True,False,False
Dream11,8.0,2019-04-09,India,Mumbai,Media & Entertainment,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019,11,2008,17,2.0794415416798357,0,0,2,3,0,1,False,False,False,False,False,False,False,False,True,False,False
Fireblocks,8.0,2021-07-27,United States,New York,Financial Services,"Tenaya Capital, Coatue Management, Stripes Group",2021,3,2018,7,2.0794415416798357,1,0,1,3,0,1,False,True,False,False,False,True,False,False,True,False,False
Flexport,8.0,2018-04-30,United States,San Francisco,Industrials,"Bloomberg Beta, Founders Fund, First Round Capital",2018,5,2013,12,2.0794415416798357,1,1,1,3,0,0,False,False,False,True,True,False,False,False,True,False,False
FalconX,8.0,2021-08-10,United States,San Mateo,Financial Services,"Tiger Global Management, American Express Ventures, B Capital Group",2021,3,2018,7,2.0794415416798357,0,0,1,3,1,1,False,True,False,False,False,True,False,False,True,False,False
Caris,7.83,2021-05-12,United States,Irving,Healthcare & Life Sciences,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021,1,2020,5,2.057962510002712,0,0,1,3,0,0,False,False,True,False,False,False,True,False,True,False,False
Dapper Labs,7.6,2021-03-30,Canada,Vancouver,Media & Entertainment,"Union Square Ventures, Venrock, Andreessen Horowitz",2021,3,2018,7,2.028148247292285,0,0,2,3,1,1,False,False,False,False,False,True,False,False,True,False,False
Netskope,7.5,2018-11-13,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Social Capital, Accel",2018,6,2012,13,2.0149030205422647,0,0,1,3,1,1,True,False,False,False,True,False,False,False,True,False,False
Flock Safety,7.5,2021-07-13,United States,Atlanta,Consumer & Retail,"Matrix Partners, Initialized Capital, Tiger Global Management",2021,4,2017,8,2.0149030205422647,0,0,1,3,1,1,False,False,False,False,False,True,False,False,True,False,False
Razorpay,7.5,2020-10-11,India,Bengaluru,Financial Services,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020,7,2013,12,2.0149030205422647,0,0,2,3,1,1,False,True,False,False,True,False,False,False,True,False,False
Automattic,7.5,2013-05-27,United States,San Francisco,Media & Entertainment,"Insight Venture Partners, Lowercase Capital, Polaris Partners",2013,8,2005,20,2.0149030205422647,1,1,1,3,0,1,False,False,False,False,False,False,False,False,True,False,False
Carta,7.4,2019-05-06,United States,San Francisco,Financial Services,"Menlo Ventures, Spark Capital, Union Square Ventures",2019,7,2012,13,2.0014800002101243,1,1,1,3,0,1,False,True,False,False,True,False,False,False,True,False,False
Snyk,7.4,2020-01-21,United States,Boston,Enterprise Tech,"BOLDstart Ventures, Google Ventures, Accel",2020,5,2015,10,2.0014800002101243,1,0,1,3,1,1,True,False,False,False,False,True,False,False,True,False,False
Gong,7.25,2020-08-12,United States,Palo Alto,Enterprise Tech,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020,5,2015,10,1.9810014688665833,1,1,1,3,0,1,True,False,False,False,False,True,False,False,True,False,False
Blockchain.com,7.0,2021-02-17,United Kingdom,London,Financial Services,"Lightspeed Venture Partners, Google Ventures, Lakestar",2021,10,2011,14,1.9459101490553132,1,0,2,3,1,1,False,True,False,False,True,False,False,False,True,False,False
Toss,7.0,2018-12-09,South Korea,Seoul,Financial Services,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018,5,2013,12,1.9459101490553132,0,0,2,3,1,1,False,True,False,False,True,False,False,False,True,False,False
Wonder,7.0,2021-05-06,United States,New York,Consumer & Retail,"Accel, Forerunner Ventures",2021,5,2016,9,1.9459101490553132,1,0,1,2,1,1,False,False,False,False,False,True,False,False,True,False,False
We Doctor,7.0,2015-09-22,China,Hangzhou,Healthcare & Life Sciences,"Tencent, Morningside Group",2015,5,2010,15,1.9459101490553132,0,0,1,2,0,0,False,False,True,False,True,False,False,False,True,False,False
Ro,7.0,2020-07-27,United States,New York,Healthcare & Life Sciences,"Initialized Capital, General Catalyst, SignalFire",2020,3,2017,8,1.9459101490553132,1,0,1,3,1,0,False,False,True,False,False,True,False,False,True,False,False
ConsenSys,7.0,2021-11-17,United States,New York,Enterprise Tech,"Third Point, Electric Capital, Coinbase Ventures",2021,7,2014,11,1.9459101490553132,1,0,1,3,0,1,True,False,False,False,True,False,False,False,True,False,False
Groq,6.9,2021-04-14,United States,Mountain View,Enterprise Tech,"TDK Ventures, Social Capital, D1 Capital Partners",2021,5,2016,9,1.9315214116032138,1,1,1,3,0,1,True,False,False,False,False,True,False,False,True,False,False
Automation Anywhere,6.8,2018-07-02,United States,San Jose,Enterprise Tech,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018,15,2003,22,1.916922612182061,1,1,1,3,0,1,True,False,False,False,False,False,False,False,True,False,False
1Password,6.8,2021-07-08,Canada,Toronto,Enterprise Tech,"Slack Fund, Accel, Skip Capital",2021,16,2005,20,1.916922612182061,0,0,2,3,1,1,True,False,False,False,False,False,False,False,True,False,False
PsiQuantum,7.0,2021-07-27,United States,Palo Alto,Enterprise Tech,"Playground Global, M12, BlackRock",2021,5,2016,9,1.9459101490553132,1,1,1,3,0,1,True,False,False,False,False,True,False,False,True,False,False
Ziroom,6.6,2018-01-17,China,Beijing,Consumer & Retail,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018,7,2011,14,1.8870696490323797,1,0,1,3,1,1,False,False,False,False,True,False,False,False,True,False,False
ElevenLabs,6.6,2024-01-22,United States,New York,Enterprise Tech,"Andreessen Horowitz, Credo Ventures, Sequoia Capital",2024,2,2022,3,1.8870696490323797,1,0,1,3,1,1,True,False,False,False,False,False,True,False,True,False,False
SVOLT,6.51,2020-06-08,China,Changzhou,Industrials,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020,2,2018,7,1.873339456220478,0,0,1,4,0,0,False,False,False,True,False,True,False,False,True,False,False
National Stock Exchange of India,6.5,2020-07-01,India,Mumbai,Financial Services,"TA Associates, SoftBank Group, GS Growth",2020,28,1992,33,1.8718021769015913,0,0,2,3,1,1,False,True,False,False,False,False,False,True,True,False,False
Mollie,6.5,2020-09-08,Netherlands,Amsterdam,Financial Services,Technology Crossover Ventures,2020,16,2004,21,1.8718021769015913,0,0,3,1,0,1,False,True,False,False,False,False,False,False,True,False,False
Doctolib,6.4,2019-03-19,France,Paris,Healthcare & Life Sciences,"BPI France, Kerala Ventures, Accel",2019,6,2013,12,1.8562979903656263,0,0,2,3,1,0,False,False,True,False,True,False,False,False,True,False,False
CRED,6.4,2021-04-06,India,Bengaluru,Financial Services,"Tiger Global Management, DST Global, Sequoia Capital India",2021,3,2018,7,1.8562979903656263,0,0,2,3,1,1,False,True,False,False,False,True,False,False,True,False,False
Snorkel AI,6.35,2021-08-09,United States,Palo Alto,Enterprise Tech,"Greylock Partners, Google Ventures, BlackRock",2021,2,2019,6,1.8484548129046001,1,1,1,3,1,1,True,False,False,False,False,True,False,False,True,False,False
DataRobot,6.3,2019-07-29,United States,Boston,Enterprise Tech,"New Enterprise Associates, Accomplice, IA Ventures",2019,7,2012,13,1.840549633397487,1,0,1,3,0,1,True,False,False,False,True,False,False,False,True,False,False
Upgrade,6.28,2018-02-12,United States,San Francisco,Financial Services,"Union Square Ventures, Ribbit Capital, VY Capital",2018,2,2016,9,1.8373699804801074,1,1,1,3,0,1,False,True,False,False,False,True,False,False,True,False,False
Black Unicorn Factory,6.1,2021-05-20,United States,Los Angeles,Enterprise Tech,Barter Ventures,2021,1,2020,5,1.8082887711792655,1,0,1,1,0,1,True,False,False,False,False,False,True,False,True,False,False
Plaid,6.1,2018-12-11,United States,San Francisco,Financial Services,"New Enterprise Associates, Spar Capital, Index Ventures",2018,6,2012,13,1.8082887711792655,1,1,1,3,0,1,False,True,False,False,True,False,False,False,True,False,False
Benchling,6.1,2021-04-14,United States,San Francisco,Healthcare & Life Sciences,"Thrive Capital, Benchmark, MenloVentures",2021,9,2012,13,1.8082887711792655,1,1,1,3,1,0,False,False,True,False,True,False,False,False,True,False,False
Grafana Labs,6.0,2021-03-25,United States,New York,Enterprise Tech,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2021,7,2014,11,1.791759469228055,1,0,1,3,1,1,True,False,False,False,True,False,False,False,True,False,False
Cyera,6.0,2024-04-09,United States,New York,Enterprise Tech,"Accel, CyberStarts, Sequoia Capital",2024,3,2021,4,1.791759469228055,1,0,1,3,1,1,True,False,False,False,False,False,True,False,True,False,False
Applied Intuition,6.0,2020-10-22,United States,Sunnyvale,Industrials,"Andreessen Horowitz, Lux Capital, General Catalyst",2020,3,2017,8,1.791759469228055,0,0,1,3,1,0,False,False,False,True,False,True,False,False,True,False,False
Commure,6.0,2021-09-16,United States,San Francisco,Healthcare & Life Sciences,"General Catalyst, HCA Healthcare",2021,4,2017,8,1.791759469228055,1,1,1,2,1,0,False,False,True,False,False,True,False,False,True,False,False
Nuro,6.0,2019-02-11,United States,Mountain View,Industrials,"SoftBank Group, Greylock Partners, Gaorong Capital",2019,3,2016,9,1.791759469228055,1,1,1,3,1,0,False,False,False,True,False,True,False,False,True,False,False
iCapital,7.5,2021-07-27,United States,New York,Financial Services,"BlackRock, Blackstone, UBS",2021,8,2013,12,2.0149030205422647,1,0,1,3,0,1,False,True,False,False,True,False,False,False,True,False,False
6Sense,5.2,2021-03-30,United States,San Francisco,Enterprise Tech,"Venrock, Battery Ventures, Insight Partners",2021,8,2013,12,1.6486586255873816,1,1,1,3,1,1,True,False,False,False,True,False,False,False,True,False,False
Attentive,5.99,2020-09-23,United States,Hoboken,Enterprise Tech,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020,4,2016,9,1.7900914121273581,0,0,1,3,1,1,True,False,False,False,False,True,False,False,True,False,False
Easyhome,5.78,2018-02-12,China,Beijing,Consumer & Retail,"Alibaba Group, Boyu Capital, Borui Capital",2018,19,1999,26,1.7544036826842861,1,0,1,3,0,1,False,False,False,False,False,False,False,True,True,False,False
Lianjia,5.77,2016-04-07,China,Beijing,Financial Services,"Tencent, Baidu, Huasheng Capital",2016,15,2001,24,1.7526720805200082,1,0,1,3,0,1,False,True,False,False,False,False,False,False,True,False,False
Workato,5.7,2021-01-12,United States,Mountain View,Enterprise Tech,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021,8,2013,12,1.7404661748405046,1,1,1,3,0,1,True,False,False,False,True,False,False,False,True,False,False
Reflection AI,5.5,2021-10-13,United States,New York,Enterprise Tech,"Carolina Research Ventures, Sequoia Capital, 1789 Capital",2021,2,2019,6,1.7047480922384253,1,0,1,3,1,1,True,False,False,False,False,True,False,False,True,False,False
Vuori,5.5,2021-10-13,United States,Carlsbad,Consumer & Retail,"SoftBank Group, Norwest Venture Partners",2021,6,2015,10,1.7047480922384253,0,0,1,2,1,1,False,False,False,False,False,True,False,False,True,False,False
Back Market,5.7,2021-05-18,France,Paris,Consumer & Retail,"Aglae Ventures, Eurazeo, Daphni",2021,7,2014,11,1.7404661748405046,0,0,2,3,0,1,False,False,False,False,True,False,False,False,True,False,False
RELEX,5.7,2022-02-17,Finland,Helsinki,Consumer & Retail,"Blackstone, Technology Crossover Ventures, Summit Partners",2022,26,1996,29,1.7404661748405046,0,0,3,3,0,1,False,False,False,False,False,False,False,True,True,False,False
